,Feature,Value,Precision,Recall,F-beta
12,occupation,Priv-house-serv,1.0,0.0,0.0
13,occupation,Armed-Forces,1.0,1.0,1.0
0,relationship,Husband,0.7212435233160622,0.6304347826086957,0.6727887868535525
1,relationship,Not-in-family,0.71875,0.12568306010928962,0.21395348837209302
2,relationship,Unmarried,0.7142857142857143,0.1282051282051282,0.21739130434782608
3,relationship,Own-child,1.0,0.0,0.0
4,relationship,Other-relative,0.5,0.09090909090909091,0.15384615384615385
5,relationship,Wife,0.6687898089171974,0.7046979865771812,0.6862745098039215
0,race,White,0.7138863000931966,0.5636497424576895,0.6299342105263158
1,race,Asian-Pac-Islander,0.6585365853658537,0.6,0.627906976744186
2,race,Black,0.7948717948717948,0.3974358974358974,0.5299145299145299
3,race,Amer-Indian-Eskimo,0.75,0.3,0.4285714285714285
4,race,Other,0.5,0.3,0.37499999999999994
0,sex,Male,0.724,0.5696302124311565,0.637604579480405
1,sex,Female,0.6503067484662577,0.4588744588744589,0.5380710659898478
0,native-country,United-States,0.7200736648250461,0.5546099290780142,0.6266025641025641
1,native-country,Peru,1.0,1.0,1.0
2,native-country,India,0.8571428571428571,1.0,0.923076923076923
3,native-country,Cuba,1.0,0.75,0.8571428571428571
4,native-country,Mexico,0.6666666666666666,0.25,0.36363636363636365
5,native-country,South,0.6666666666666666,0.5,0.5714285714285715
6,native-country,Vietnam,1.0,0.0,0.0
7,native-country,Hong,1.0,1.0,1.0
8,native-country,Puerto-Rico,0.3333333333333333,0.5,0.4
9,native-country,Greece,1.0,1.0,1.0
10,native-country,Poland,0.5,0.3333333333333333,0.4
11,native-country,Ecuador,0.0,0.0,1.0
12,native-country,Japan,1.0,0.5,0.6666666666666666
13,native-country,Philippines,0.625,0.625,0.625
14,native-country,Dominican-Republic,1.0,0.0,0.0
15,native-country,Thailand,1.0,1.0,1.0
16,native-country,Germany,0.625,0.7142857142857143,0.6666666666666666
17,native-country,Portugal,1.0,1.0,1.0
18,native-country,Italy,0.0,0.0,1.0
19,native-country,Iran,1.0,1.0,1.0
20,native-country,Canada,0.6666666666666666,0.4444444444444444,0.5333333333333333
21,native-country,Taiwan,0.4,1.0,0.5714285714285715
22,native-country,China,0.3333333333333333,0.3333333333333333,0.3333333333333333
23,native-country,Jamaica,1.0,1.0,1.0
24,native-country,Hungary,1.0,0.0,0.0
25,native-country,Guatemala,1.0,1.0,1.0
26,native-country,England,0.3333333333333333,0.25,0.28571428571428575
27,native-country,Laos,0.0,0.0,1.0
28,native-country,France,0.0,0.0,1.0
29,native-country,Outlying-US(Guam-USVI-etc),1.0,1.0,1.0
30,native-country,El-Salvador,0.6666666666666666,0.6666666666666666,0.6666666666666666
31,native-country,Columbia,0.0,1.0,0.0
32,native-country,Cambodia,0.5,0.5,0.5
33,native-country,Ireland,1.0,1.0,1.0
34,native-country,Nicaragua,1.0,1.0,1.0
35,native-country,Haiti,1.0,1.0,1.0
36,native-country,Scotland,1.0,1.0,1.0
37,native-country,Yugoslavia,0.5,1.0,0.6666666666666666
38,native-country,Honduras,1.0,1.0,1.0
39,native-country,Trinadad&Tobago,1.0,0.0,0.0
